"id";"name";"description";"price";"categoryId";"productId";"typeId";"localDataSheet";"onlineDataSheet";"iconPath";"manufacturerId";"locationId";"amount";"amountType";"orderState";"packageId";"rating";"discourageOrder";"remark";"isSet";"dimensionTypeId"
1;"Unknown";"";0.0;1;1;1;"";"";"";1;1;0;0;0;1;0.0;0;"";0;0
2;"PIC16F684-I/P";"8-bit Microcontrollers - MCU 
3.5KB  128 RAM 12 I/O";1.0;2;2;2;"";"http://www.mouser.com/ds/2/268/41202F-print-49265.pdfhttp://www.mouser.com/ds/2/268/41202F-print-49265.pdf";"PDIP_14_t.jpg";6;286;3;3;0;63;4.0;0;"";0;9
6;"UA741CP";"Op Amps GP Op Amp";0.0;2;3;3;"";"http://www.ti.com/lit/gpn/ua741";"TI_PDIP_8.jpg";7;280;20;0;0;71;0.0;0;"";0;9
7;"INA126PA";"Micropower Single & Dual Versions";2.0;2;3;4;"";"http://www.ti.com/lit/gpn/ina126";"PDIP_8_t.jpg";7;288;5;0;0;83;4.0;0;"";0;9
11;"PIC18F2550-I/P";"8-bit Microcontrollers - MCU 32kBF 2048RM FSUSB2";4.0;2;2;2;"";"http://www.mouser.com/ds/2/268/39632e-48732.pdfhttp://www.mouser.com/ds/2/268/39632e-48732.pdf";"DIP_28_t.jpg";6;294;4;3;0;63;0.0;0;"";0;9
12;"PIC16F873A-I/SO";"8-bit Microcontrollers - MCU 7KB 192 RAM 22 I/O";4.0;2;2;2;"";"http://www.mouser.com/ds/2/268/39582C-278080.pdf";"PDIP_16_t.jpg";6;286;1;3;0;63;4.0;0;"";0;9
13;"PIC16F870-I/SP";"8-bit Microcontrollers - MCU 3.5KB 128 RAM 22 I/O";3.0;2;2;2;"";"http://www.mouser.com/ds/2/268/30569C-277894.pdf";"DIP_28_t.jpg";6;286;1;3;0;63;4.0;0;"";0;9
14;"PIC16F877A-I/P";"8-bit Microcontrollers -  MCU 14KB  368 RAM 33 I/O";5.0;2;2;2;"";"http://www.mouser.com/ds/2/268/39582C-278080.pdf";"PDIP_16_t.jpg";6;286;1;3;0;63;3.0;0;"";0;9
15;"PIC18F4550-I/P";"8-bit Microcontrollers - MCU 32kBF 2048RM FSUSB2";5.0;2;2;2;"";"http://www.mouser.com/ds/2/268/39632e-48732.pdf";"PDIP_40_t.jpg";6;294;1;0;0;63;3.0;0;"";0;9
16;"DSPIC33EP32GP502-I/SP";"Digital Signal Processors & Controllers - DSP, DSC 32KB FL 4KB RAM 60MHz 28Pin";2.0;2;2;6;"";"http://www.mouser.com/ds/2/268/70657C-36258.pdf";"inhouse_dspic33fj128gp802isp_t.jpg";6;302;1;0;0;63;0.0;0;"";0;9
17;"DSPIC33FJ128GP802-I/SP";"Digital Signal Processors & Controllers - DSP, DSC 16B DSC 28LD128KB DMA 40MIPS";6.0;2;2;6;"";"http://www.mouser.com/ds/2/268/70292D-18478.pdf";"inhouse_dspic33fj128gp802isp_t.jpg";6;302;2;0;0;63;0.0;0;"";0;9
18;"DSPIC33EP32MC202-I/SP";"Digital Signal Processors & Controllers - DSP, DSC 32KB FL 4KB RAM 60MHz 28Pin";2.0;2;2;6;"";"http://www.mouser.com/ds/2/268/70657C-36258.pdf";"inhouse_dspic33fj128gp802isp_t.jpg";6;302;6;3;0;25;0.0;0;"";0;1
19;"TL071CP";"JFET Input Low Noise";0.0;2;3;3;"";"http://www.ti.com/lit/gpn/tl071";"TI_PDIP_8.jpg";7;280;11;0;0;71;0.0;0;"";0;9
20;"LM386N-4/NOPB";"LOW VLTG AUDIO PWR AMP";0.0;2;4;5;"";"http://www.ti.com/lit/gpn/LM386";"";7;288;2;0;0;83;0.0;0;"";0;9
21;"LM317T";"Linear Voltage Regulators 1.2-37V Adj Positive 1.5 Amp Output";0.0;2;7;9;"";"http://www.mouser.com/ds/2/389/lm217-974117.pdf";"";8;290;2;0;0;101;0.0;0;"";0;13
22;"nRF24L01";"RF Transceiver 1.9-3.6V 2.4GHz XCVR ENHNCD SHCKBRST";3.0;2;5;7;"";"http://www.mouser.com/ds/2/297/nRF24L01_Product_Specification_v2_0-9199.pdf";"2.ghz_chip.jpg";9;279;9;0;0;63;0.0;0;"";0;1
23;"MAX232CPE+";"RS-232 Interface IC 5V MultiCh RS-232 Driver/Receiver";2.0;2;6;8;"";"http://www.mouser.com/ds/2/256/MAX220-MAX249-67423.pdf";"PDIP_16_t.jpg";10;1;0;0;0;68;0.0;0;"";0;1
24;"SC56-11GWA";"LED Displays & Accessories Single Green 568nm Common Cathode";1.0;5;8;10;"";"http://www.mouser.com/ds/2/216/SC56-11GWA-73535.pdf";"sc56-11gwa.jpg";11;285;0;0;0;1;0.0;0;"";0;1
25;"TTL-232R-5V-PCB";"Interface Modules USB Embeded Serial Conv 5V PCB Assy";14.0;6;9;1;"";"http://www.mouser.com/ds/2/163/DS_TTL-232R_PCB-10824.pdf";"ttl-232r-pcb.jpg";12;1;0;0;0;1;0.0;0;"";0;0
26;"TTL-232RG-VSW5V-WE";"USB Cables / IEEE 1394 Cables USB Embedded Serial Wire End 5V 450mA";19.0;7;10;11;"";"http://www.mouser.com/ds/2/163/DS_TTL-232RG_CABLES-6645.pdf";"TTL_232RG.jpg";12;1;0;0;0;1;0.0;0;"";0;0
27;"REA010M2CBK-0511P";"Aluminium Electrolytic Capacitors - Leaded 160V 1.0uF 20% 5x11mm";0.0;3;11;12;"";"http://www.mouser.com/ds/2/231/lelon_REA[1]-341020.pdf";"rea.jpg";13;6;20;4;0;1;0.0;0;"";0;1
28;"REA100M1HBK-0511P";"Aluminium Electrolytic Capacitors - Leaded 50V 10uF 20% 5x11mm";0.0;3;11;12;"";"http://www.mouser.com/ds/2/231/lelon_REA[1]-341020.pdf";"rea.jpg";13;24;20;0;0;53;0.0;0;"";0;10
29;"MAX232IN";"RS-232 Interface IC Dual EIA-232 Driver";1.0;2;6;8;"";"http://www.ti.com/lit/gpn/max232";"TI_PDIP_14.jpg";7;295;1;0;0;68;0.0;0;"";0;10
30;"76650-0007";"Headers & Wire Housings SERVICE KIT 184 Pcs";53.0;4;17;14;"";"http://www.mouser.com/ds/2/276/DataSheet%2076650-0007-202816.pdf";"76650-0007_SPL.jpg";14;1;1;3;0;1;0.0;1;"";0;0
31;"PJ-002A";"DC Power Connectors Power Jacks";0.0;4;18;15;"";"http://www.mouser.com/ds/2/670/pj-002a-515880.pdf";"pj-002a_spl.jpg";15;1;10;0;0;1;0.0;0;"";0;0
32;"836-P";"Soldering Flux Flux Pen No Clean Lead Free Pen";7.0;21;19;16;"";"http://www.mouser.com/ds/2/265/tds-836-p-1018817.pdf";"";16;362;1;3;0;84;0.0;0;"";0;1
33;"CB10LV103K";"Trimmer Resistors - Through Hole 10K 10%";0.0;3;20;17;"";"http://www.mouser.com/ds/2/418/NG_CD_1630480_BA1-657498.pdf";"";17;1;10;0;0;1;0.0;0;"";0;0
