"id";"name";"categoryId";"iconPath"
1;"Unknown";1;""
2;"Embedded Processors & Controllers";2;""
3;"Amplifier IC";2;""
4;"Audio ICs";2;""
5;"RF ICs";2;""
6;"Interface ICs";2;""
7;"Power Management ICs";2;""
8;"Displays";5;""
9;"Interface Modules";6;""
10;"Cable Assemblies";7;""
11;"Capacitors";3;""
17;"Headers & Wire Housing";4;""
18;"Power Connectors";4;""
19;"Soldering";21;""
20;"Potentiometers, Trimmers & Rheostats";3;""
21;"Digital Potentiometer ICs";2;""
22;"Discrete Semiconductors";2;""
23;"Driver ICs";2;""
24;"IC & Component Sockets";4;""
25;"ESD Suppressors/TVS Diodes";22;""
26;"Encoders";23;""
27;"LED Lighting";5;""
28;"USB Connectors";4;""
29;"Data Converter ICs";2;""
30;"Inductors, Chokes & Coils";3;""
31;"Resistors";3;""
32;"Antennas";3;""
33;"RF Interconnects";4;""
34;"Thermistor";22;""
35;"Engineering Tools";6;""
36;"Flat cables";7;""
37;"Switches";24;""
38;"Clock & Timer";2;""
39;"Logic ICs";2;""
40;"Counter ICs";2;""
41;"DC/DC Converters";26;""
42;"Terminal blocks";4;""
