"id";"name";"productId";"iconPath"
1;"Unknown";1;""
2;"Microcontrollers - MCU";2;""
3;"Operational Amplifiers - Op Amps";3;""
4;"Instrumentation Amplifiers";3;""
5;"Audio Amplifier";4;""
6;"Digital Signal Processors & Controllers";2;""
7;"RF Tranceiver";5;""
8;"RS-232 ";6;""
9;"Voltage Regulators & Voltage Controllers";7;""
10;"LED Displays & Accessories";8;""
11;"USB Cables / IEEE 1394 Cables";10;""
12;"Aluminium Electrolytic Capacitors";11;""
14;"Molex";17;""
15;"DC Power Connectors";18;""
16;"Soldering Flux";19;""
17;"Trimmer Resistrors - Through Hole";20;""
18;"Thyristors";22;""
19;"Diode & Rectifiers";22;""
20;"LED Display Drivers";23;""
21;"Transistors";22;""
22;"Motor/Motion/Ignition Controllers & Drivers";7;""
23;"Current Sense Amplifiers";3;""
24;"Current Regulators";7;""
25;"Incremental Encoders";26;""
26;"Standard LEDs - SMD";27;""
27;"USB Interface IC";6;""
28;"ADC";29;""
29;"DAC";29;""
30;"Voltage Reference";7;""
31;"Ceramic capacitors";11;""
32;"Fixed Inductors";30;""
33;"Audio Tranceivers";4;""
34;"Resistor kits";31;""
35;"Capacitor kits";11;""
36;"RF Connectors/Coaxial Connectors";33;""
37;"Tantalum Capacitors";11;""
38;"Audio DAC ICs";4;""
39;"Audio ADC ICs";4;""
40;"PTC Thermistors";34;""
41;"Development Tools";35;""
42;"Tactile Switches";37;""
43;"Film Resistors";31;""
44;"Timers & Support Products Precision";38;""
45;"Inverters";39;""
46;"Isolated DC/DC Converters";41;""
47;"Fixed Terminal Blocks";42;""
